participant_id	trial_type	stop_signal_delay	go_reaction_time	correct_go	successful_stop
sub-24184	Go	n/a	0.674	1	n/a
sub-24184	Stop	0.750	0.000	0	1
sub-24184	Go	n/a	0.000	0	n/a
sub-24184	Go	n/a	0.581	1	n/a
sub-24184	Stop	0.700	0.000	0	0
sub-24184	Go	n/a	0.601	1	n/a
sub-24184	Go	n/a	0.432	1	n/a
sub-24184	Stop	0.750	0.000	0	1
sub-24184	Stop	0.700	0.000	0	0
sub-24184	Stop	0.750	0.000	0	1
sub-24184	Go	n/a	0.559	1	n/a
sub-24184	Go	n/a	0.610	1	n/a
sub-24184	Go	n/a	0.589	1	n/a
sub-24184	Go	n/a	0.644	1	n/a
sub-24184	Stop	0.700	0.000	0	1
sub-24184	Go	n/a	0.556	1	n/a
sub-24184	Go	n/a	0.487	1	n/a
sub-24184	Go	n/a	0.344	1	n/a
sub-24184	Go	n/a	0.459	1	n/a
sub-24184	Stop	0.750	0.000	0	0
sub-24184	Go	n/a	0.000	0	n/a
sub-24184	Go	n/a	0.660	0	n/a
sub-24184	Go	n/a	0.479	1	n/a
sub-24184	Go	n/a	0.442	1	n/a
sub-24184	Go	n/a	0.471	1	n/a
sub-24184	Stop	0.800	0.000	0	1
sub-24184	Go	n/a	0.317	1	n/a
sub-24184	Go	n/a	0.508	1	n/a
sub-24184	Go	n/a	0.389	1	n/a
sub-24184	Stop	0.750	0.000	0	0
sub-24184	Go	n/a	0.578	1	n/a
sub-24184	Go	n/a	0.416	1	n/a
sub-24184	Go	n/a	0.490	1	n/a
sub-24184	Stop	0.800	0.000	0	1
sub-24184	Go	n/a	0.572	1	n/a
sub-24184	Go	n/a	0.481	1	n/a
sub-24184	Go	n/a	0.551	1	n/a
sub-24184	Go	n/a	0.415	1	n/a
sub-24184	Go	n/a	0.343	1	n/a
sub-24184	Go	n/a	0.428	1	n/a
sub-24184	Go	n/a	0.360	1	n/a
sub-24184	Stop	0.750	0.000	0	0
sub-24184	Go	n/a	0.618	1	n/a
sub-24184	Go	n/a	0.510	1	n/a
sub-24184	Stop	0.800	0.000	0	0
sub-24184	Go	n/a	0.391	1	n/a
sub-24184	Go	n/a	0.422	1	n/a
sub-24184	Go	n/a	0.751	1	n/a
sub-24184	Stop	0.850	0.000	0	1
sub-24184	Stop	0.800	0.000	0	1
sub-24184	Stop	0.750	0.000	0	1
sub-24184	Go	n/a	0.775	1	n/a
sub-24184	Go	n/a	0.427	1	n/a
sub-24184	Go	n/a	0.479	1	n/a
sub-24184	Go	n/a	0.585	1	n/a
sub-24184	Go	n/a	0.677	1	n/a
sub-24184	Stop	0.700	0.000	0	0
sub-24184	Stop	0.750	0.000	0	0
sub-24184	Stop	0.800	0.000	0	1
sub-24184	Go	n/a	0.576	1	n/a
sub-24184	Go	n/a	0.598	1	n/a
sub-24184	Stop	0.750	0.000	0	1
sub-24184	Go	n/a	0.582	1	n/a
sub-24184	Go	n/a	0.842	1	n/a
sub-24184	Stop	0.700	0.000	0	1
sub-24184	Stop	0.650	0.000	0	0
sub-24184	Go	n/a	0.709	1	n/a
sub-24184	Go	n/a	0.566	1	n/a
sub-24184	Go	n/a	0.438	1	n/a
sub-24184	Go	n/a	0.423	0	n/a
sub-24184	Stop	0.700	0.000	0	1
sub-24184	Go	n/a	0.793	1	n/a
sub-24184	Go	n/a	0.404	1	n/a
sub-24184	Stop	0.650	0.000	0	0
sub-24184	Go	n/a	0.713	1	n/a
sub-24184	Go	n/a	0.572	1	n/a
sub-24184	Go	n/a	0.615	1	n/a
sub-24184	Go	n/a	0.499	1	n/a
sub-24184	Go	n/a	0.739	1	n/a
sub-24184	Go	n/a	0.651	0	n/a
sub-24184	Go	n/a	0.635	1	n/a
sub-24184	Go	n/a	0.476	1	n/a
sub-24184	Go	n/a	0.561	1	n/a
sub-24184	Go	n/a	0.531	1	n/a
sub-24184	Go	n/a	0.442	1	n/a
sub-24184	Go	n/a	0.544	1	n/a
sub-24184	Go	n/a	0.800	1	n/a
sub-24184	Stop	0.700	0.000	0	0
sub-24184	Go	n/a	0.000	0	n/a
sub-24184	Go	n/a	0.512	1	n/a
sub-24184	Stop	0.750	0.000	0	1
sub-24184	Go	n/a	0.833	1	n/a
sub-24184	Go	n/a	0.668	1	n/a
sub-24184	Stop	0.700	0.000	0	0
sub-24184	Go	n/a	0.540	1	n/a
sub-24184	Go	n/a	0.721	1	n/a
sub-24184	Go	n/a	0.743	1	n/a
sub-24184	Go	n/a	0.435	1	n/a
sub-24184	Stop	0.750	0.000	0	0
sub-24184	Go	n/a	0.602	1	n/a
sub-24184	Stop	0.800	0.000	0	0
sub-24184	Go	n/a	0.961	1	n/a
sub-24184	Go	n/a	0.517	1	n/a
sub-24184	Go	n/a	0.681	1	n/a
sub-24184	Go	n/a	0.538	1	n/a
sub-24184	Go	n/a	0.241	1	n/a
sub-24184	Go	n/a	0.502	1	n/a
sub-24184	Stop	0.750	0.000	0	0
sub-24184	Stop	0.800	0.000	0	1
sub-24184	Go	n/a	0.593	1	n/a
sub-24184	Go	n/a	0.812	1	n/a
sub-24184	Go	n/a	0.658	1	n/a
sub-24184	Go	n/a	0.409	1	n/a
sub-24184	Stop	0.750	0.000	0	1
sub-24184	Go	n/a	0.690	1	n/a
sub-24184	Go	n/a	0.555	1	n/a
sub-24184	Go	n/a	0.597	1	n/a
sub-24184	Stop	0.700	0.000	0	0
sub-24184	Go	n/a	0.000	0	n/a
sub-24184	Go	n/a	0.628	1	n/a
sub-24184	Go	n/a	0.521	1	n/a
sub-24184	Go	n/a	0.569	1	n/a
sub-24184	Go	n/a	0.498	1	n/a
sub-24184	Go	n/a	0.417	1	n/a
sub-24184	Go	n/a	0.616	1	n/a
sub-24184	Go	n/a	0.541	1	n/a
sub-24184	Go	n/a	0.735	1	n/a
sub-24184	Go	n/a	0.697	1	n/a
sub-24184	Stop	0.750	0.000	0	1
sub-24184	Go	n/a	0.690	1	n/a
sub-24184	Go	n/a	0.631	1	n/a
sub-24184	Go	n/a	0.492	1	n/a
sub-24184	Go	n/a	0.695	1	n/a
sub-24184	Stop	0.700	0.000	0	0
sub-24184	Go	n/a	0.702	1	n/a
sub-24184	Stop	0.750	0.000	0	1
sub-24184	Go	n/a	0.582	1	n/a
sub-24184	Go	n/a	0.594	1	n/a
sub-24184	Stop	0.700	0.000	0	0
sub-24184	Go	n/a	0.648	1	n/a
sub-24184	Stop	0.750	0.000	0	1
sub-24184	Stop	0.700	0.000	0	1
sub-24184	Stop	0.650	0.000	0	0
sub-24184	Stop	0.700	0.000	0	1
sub-24184	Stop	0.650	0.000	0	1
sub-24184	Go	n/a	0.665	1	n/a
sub-24184	Go	n/a	0.982	1	n/a
sub-24184	Stop	0.600	0.000	0	0
sub-24184	Go	n/a	0.556	1	n/a
sub-24184	Go	n/a	0.670	1	n/a
sub-24184	Stop	0.650	0.000	0	0
sub-24184	Go	n/a	0.695	1	n/a
sub-24184	Go	n/a	0.579	1	n/a
sub-24184	Go	n/a	0.456	1	n/a
sub-24184	Go	n/a	0.653	0	n/a
sub-24184	Stop	0.700	0.000	0	1
sub-24184	Go	n/a	0.939	1	n/a
sub-24184	Go	n/a	0.508	1	n/a
sub-24184	Stop	0.650	0.000	0	0
sub-24184	Go	n/a	0.416	1	n/a
sub-24184	Stop	0.700	0.000	0	0
sub-24184	Go	n/a	0.744	1	n/a
sub-24184	Go	n/a	0.801	0	n/a
sub-24184	Go	n/a	0.698	1	n/a
sub-24184	Go	n/a	0.574	1	n/a
sub-24184	Go	n/a	0.578	1	n/a
sub-24184	Go	n/a	0.678	1	n/a
sub-24184	Go	n/a	0.538	1	n/a
sub-24184	Stop	0.750	0.000	0	0
sub-24184	Stop	0.800	0.000	0	1
sub-24184	Go	n/a	0.734	1	n/a
sub-24184	Go	n/a	0.565	1	n/a
sub-24184	Go	n/a	0.397	1	n/a
sub-24184	Go	n/a	0.395	1	n/a
sub-24184	Go	n/a	0.000	0	n/a
sub-24184	Go	n/a	0.641	1	n/a
sub-24184	Go	n/a	0.467	1	n/a
sub-24184	Go	n/a	0.395	1	n/a
sub-24184	Go	n/a	0.718	1	n/a
sub-24184	Go	n/a	0.552	1	n/a
sub-24184	Go	n/a	0.539	1	n/a
sub-24184	Go	n/a	0.886	1	n/a
sub-24184	Stop	0.750	0.000	0	1
sub-24184	Go	n/a	0.650	1	n/a
sub-24184	Go	n/a	0.460	1	n/a
sub-24184	Go	n/a	0.532	1	n/a
sub-24184	Go	n/a	0.814	1	n/a
sub-24184	Go	n/a	0.409	1	n/a
sub-24184	Go	n/a	0.493	0	n/a
sub-24184	Stop	0.700	0.000	0	0
sub-24184	Go	n/a	0.587	1	n/a
sub-24184	Go	n/a	0.639	1	n/a
sub-24184	Stop	0.750	0.000	0	0
sub-24184	Go	n/a	0.603	1	n/a
sub-24184	Go	n/a	0.467	1	n/a
sub-24184	Go	n/a	0.453	1	n/a
sub-24184	Go	n/a	0.537	1	n/a
sub-24184	Go	n/a	0.438	1	n/a
sub-24184	Stop	0.800	0.000	0	0
sub-24184	Go	n/a	0.492	1	n/a
sub-24184	Go	n/a	0.551	1	n/a
sub-24184	Go	n/a	0.677	1	n/a
sub-24184	Go	n/a	0.598	1	n/a
sub-24184	Stop	0.850	0.000	0	1
sub-24184	Go	n/a	0.615	1	n/a
sub-24184	Go	n/a	0.466	1	n/a
sub-24184	Go	n/a	0.813	1	n/a
sub-24184	Go	n/a	0.631	1	n/a
sub-24184	Go	n/a	0.599	1	n/a
sub-24184	Stop	0.800	0.000	0	1
sub-24184	Go	n/a	0.522	1	n/a
sub-24184	Stop	0.750	0.000	0	1
sub-24184	Go	n/a	0.549	1	n/a
sub-24184	Go	n/a	0.435	1	n/a
sub-24184	Go	n/a	0.672	1	n/a
sub-24184	Go	n/a	0.612	1	n/a
sub-24184	Go	n/a	0.557	1	n/a
sub-24184	Stop	0.700	0.000	0	0
sub-24184	Stop	0.750	0.000	0	1
sub-24184	Go	n/a	0.596	1	n/a
sub-24184	Go	n/a	0.626	1	n/a
sub-24184	Go	n/a	0.690	0	n/a
sub-24184	Go	n/a	0.571	1	n/a
sub-24184	Go	n/a	0.689	1	n/a
sub-24184	Go	n/a	0.499	1	n/a
sub-24184	Stop	0.700	0.000	0	0
sub-24184	Go	n/a	0.837	1	n/a
sub-24184	Go	n/a	0.477	1	n/a
sub-24184	Go	n/a	0.497	1	n/a
sub-24184	Stop	0.750	0.000	0	0
sub-24184	Go	n/a	0.490	1	n/a
sub-24184	Stop	0.800	0.000	0	1
sub-24184	Stop	0.750	0.000	0	1
sub-24184	Go	n/a	0.630	1	n/a
sub-24184	Go	n/a	0.602	1	n/a
sub-24184	Stop	0.700	0.000	0	1
sub-24184	Stop	0.650	0.000	0	1
sub-24184	Go	n/a	0.667	1	n/a
sub-24184	Go	n/a	0.787	1	n/a
sub-24184	Go	n/a	0.000	0	n/a
sub-24184	Go	n/a	0.682	1	n/a
sub-24184	Go	n/a	0.450	1	n/a
sub-24184	Go	n/a	0.559	1	n/a
sub-24184	Go	n/a	0.496	1	n/a
sub-24184	Stop	0.600	0.000	0	0
sub-24184	Go	n/a	0.679	1	n/a
sub-24184	Go	n/a	0.528	1	n/a
sub-24184	Go	n/a	0.595	1	n/a
sub-24184	Go	n/a	0.488	1	n/a
sub-24184	Go	n/a	0.557	1	n/a
sub-24184	Go	n/a	0.506	1	n/a
sub-24184	Stop	0.650	0.000	0	0
sub-24184	Go	n/a	0.842	1	n/a
sub-24184	Go	n/a	0.478	1	n/a
sub-24184	Go	n/a	0.483	1	n/a
sub-24184	Go	n/a	0.630	1	n/a
sub-24184	Go	n/a	0.448	1	n/a
sub-24184	Go	n/a	0.584	1	n/a
sub-24184	Go	n/a	0.447	1	n/a
sub-24184	Go	n/a	0.632	1	n/a
sub-24184	Go	n/a	0.637	1	n/a
sub-24184	Stop	0.700	0.000	0	0
sub-24184	Go	n/a	0.574	1	n/a
sub-24184	Stop	0.750	0.000	0	1
sub-24184	Stop	0.700	0.000	0	1
sub-24184	Go	n/a	0.000	0	n/a
sub-24184	Go	n/a	0.524	1	n/a
sub-24184	Stop	0.650	0.000	0	0
sub-24184	Go	n/a	0.683	1	n/a
sub-24184	Go	n/a	0.501	1	n/a
sub-24184	Go	n/a	0.289	1	n/a
sub-24184	Stop	0.700	0.000	0	0
sub-24184	Stop	0.750	0.000	0	0
sub-24184	Go	n/a	0.477	1	n/a
sub-24184	Go	n/a	0.640	1	n/a
sub-24184	Go	n/a	0.368	1	n/a
sub-24184	Go	n/a	0.642	0	n/a
sub-24184	Go	n/a	0.680	1	n/a
sub-24184	Go	n/a	0.454	0	n/a
sub-24184	Stop	0.800	0.000	0	0
sub-24184	Stop	0.750	0.000	0	0
sub-24184	Go	n/a	0.435	1	n/a
sub-24184	Go	n/a	0.429	1	n/a
