participant_id	trial_type	stop_signal_delay	go_reaction_time	correct_go	successful_stop
sub-23072	Go	n/a	0.471	1	n/a
sub-23072	Stop	0.750	0.000	0	0
sub-23072	Go	n/a	0.446	1	n/a
sub-23072	Go	n/a	0.389	1	n/a
sub-23072	Go	n/a	0.408	1	n/a
sub-23072	Stop	0.800	0.000	0	0
sub-23072	Stop	0.850	0.000	0	0
sub-23072	Go	n/a	0.487	1	n/a
sub-23072	Go	n/a	0.426	1	n/a
sub-23072	Stop	0.900	0.000	0	0
sub-23072	Stop	0.950	0.000	0	0
sub-23072	Go	n/a	0.439	1	n/a
sub-23072	Go	n/a	0.460	1	n/a
sub-23072	Stop	1.000	0.000	0	0
sub-23072	Go	n/a	0.346	1	n/a
sub-23072	Go	n/a	0.407	1	n/a
sub-23072	Go	n/a	0.423	1	n/a
sub-23072	Stop	0.750	0.000	0	0
sub-23072	Go	n/a	0.490	1	n/a
sub-23072	Go	n/a	0.430	1	n/a
sub-23072	Go	n/a	0.360	1	n/a
sub-23072	Go	n/a	0.428	1	n/a
sub-23072	Go	n/a	0.515	1	n/a
sub-23072	Go	n/a	0.378	1	n/a
sub-23072	Go	n/a	0.393	1	n/a
sub-23072	Go	n/a	0.397	1	n/a
sub-23072	Stop	0.800	0.000	0	0
sub-23072	Go	n/a	0.463	1	n/a
sub-23072	Go	n/a	0.363	1	n/a
sub-23072	Go	n/a	0.533	1	n/a
sub-23072	Go	n/a	0.334	1	n/a
sub-23072	Stop	0.850	0.000	0	0
sub-23072	Stop	0.900	0.000	0	0
sub-23072	Go	n/a	0.468	1	n/a
sub-23072	Go	n/a	0.635	1	n/a
sub-23072	Stop	0.950	0.000	0	0
sub-23072	Stop	1.000	0.000	0	0
sub-23072	Go	n/a	0.397	1	n/a
sub-23072	Go	n/a	0.514	1	n/a
sub-23072	Go	n/a	0.402	1	n/a
sub-23072	Go	n/a	0.315	1	n/a
sub-23072	Stop	1.000	0.000	0	0
