participant_id	trial_type	stop_signal_delay	go_reaction_time	correct_go	successful_stop
sub-24450	Go	n/a	0.000	0	n/a
sub-24450	Go	n/a	0.000	0	n/a
sub-24450	Stop	0.750	0.000	0	0
sub-24450	Stop	0.800	0.000	0	0
sub-24450	Stop	0.850	0.000	0	1
sub-24450	Go	n/a	0.000	0	n/a
sub-24450	Go	n/a	0.486	1	n/a
sub-24450	Stop	0.800	0.000	0	0
sub-24450	Go	n/a	0.000	0	n/a
sub-24450	Stop	0.850	0.000	0	0
sub-24450	Go	n/a	0.312	1	n/a
sub-24450	Go	n/a	0.915	1	n/a
sub-24450	Go	n/a	0.692	1	n/a
sub-24450	Go	n/a	0.750	1	n/a
sub-24450	Go	n/a	0.792	1	n/a
sub-24450	Stop	0.900	0.000	0	1
sub-24450	Go	n/a	0.000	0	n/a
sub-24450	Go	n/a	0.596	0	n/a
sub-24450	Go	n/a	0.659	1	n/a
sub-24450	Go	n/a	0.638	1	n/a
sub-24450	Go	n/a	0.656	1	n/a
sub-24450	Go	n/a	0.823	1	n/a
sub-24450	Stop	0.750	0.000	0	0
sub-24450	Go	n/a	0.512	1	n/a
sub-24450	Stop	0.800	0.000	0	0
sub-24450	Go	n/a	0.471	0	n/a
sub-24450	Go	n/a	0.814	1	n/a
sub-24450	Go	n/a	0.629	1	n/a
sub-24450	Go	n/a	0.688	1	n/a
sub-24450	Go	n/a	0.849	1	n/a
sub-24450	Go	n/a	0.625	1	n/a
sub-24450	Stop	0.850	0.000	0	0
sub-24450	Go	n/a	0.768	1	n/a
sub-24450	Go	n/a	0.444	1	n/a
sub-24450	Stop	0.900	0.000	0	1
sub-24450	Go	n/a	0.547	1	n/a
sub-24450	Stop	0.850	0.000	0	1
sub-24450	Stop	0.800	0.000	0	0
sub-24450	Go	n/a	0.718	1	n/a
sub-24450	Go	n/a	0.709	1	n/a
sub-24450	Go	n/a	0.726	1	n/a
sub-24450	Go	n/a	0.650	1	n/a
sub-24450	Go	n/a	0.564	1	n/a
sub-24450	Go	n/a	0.475	1	n/a
sub-24450	Go	n/a	0.412	1	n/a
sub-24450	Go	n/a	0.365	0	n/a
sub-24450	Stop	0.850	0.000	0	0
sub-24450	Go	n/a	0.248	1	n/a
sub-24450	Go	n/a	0.365	1	n/a
sub-24450	Stop	0.900	0.000	0	0
sub-24450	Go	n/a	0.557	1	n/a
sub-24450	Go	n/a	0.441	1	n/a
sub-24450	Stop	0.950	0.000	0	1
sub-24450	Go	n/a	0.318	1	n/a
sub-24450	Go	n/a	0.371	1	n/a
sub-24450	Go	n/a	0.794	1	n/a
sub-24450	Stop	0.900	0.000	0	1
sub-24450	Go	n/a	0.332	0	n/a
sub-24450	Go	n/a	0.000	0	n/a
sub-24450	Go	n/a	0.646	1	n/a
sub-24450	Go	n/a	0.899	0	n/a
sub-24450	Go	n/a	0.000	0	n/a
sub-24450	Go	n/a	0.520	1	n/a
sub-24450	Stop	0.850	0.000	0	0
sub-24450	Go	n/a	0.981	1	n/a
sub-24450	Go	n/a	0.632	1	n/a
sub-24450	Go	n/a	0.640	1	n/a
sub-24450	Stop	0.900	0.000	0	1
sub-24450	Stop	0.850	0.000	0	0
sub-24450	Go	n/a	0.664	1	n/a
sub-24450	Go	n/a	0.717	1	n/a
sub-24450	Go	n/a	0.802	0	n/a
sub-24450	Go	n/a	0.874	0	n/a
sub-24450	Stop	0.900	0.000	0	1
sub-24450	Go	n/a	0.679	1	n/a
sub-24450	Go	n/a	0.199	1	n/a
sub-24450	Go	n/a	0.244	1	n/a
