participant_id	trial_type	stop_signal_delay	go_reaction_time	correct_go	successful_stop
sub-24429	Stop	0.750	0.000	0	1
sub-24429	Go	n/a	0.585	1	n/a
sub-24429	Stop	0.700	0.000	0	1
sub-24429	Go	n/a	0.664	1	n/a
sub-24429	Stop	0.650	0.000	0	0
sub-24429	Go	n/a	0.479	1	n/a
sub-24429	Go	n/a	0.721	0	n/a
sub-24429	Stop	0.700	0.000	0	0
sub-24429	Go	n/a	0.548	1	n/a
sub-24429	Stop	0.750	0.000	0	1
sub-24429	Go	n/a	0.000	0	n/a
sub-24429	Stop	0.700	0.000	0	0
sub-24429	Go	n/a	0.000	0	n/a
sub-24429	Go	n/a	0.540	1	n/a
sub-24429	Go	n/a	0.872	1	n/a
sub-24429	Go	n/a	0.786	1	n/a
sub-24429	Go	n/a	0.590	1	n/a
sub-24429	Stop	0.750	0.000	0	0
sub-24429	Go	n/a	0.986	1	n/a
sub-24429	Go	n/a	0.794	1	n/a
sub-24429	Stop	0.800	0.000	0	1
sub-24429	Go	n/a	0.461	1	n/a
sub-24429	Go	n/a	0.973	1	n/a
sub-24429	Go	n/a	0.406	1	n/a
sub-24429	Go	n/a	0.359	1	n/a
sub-24429	Go	n/a	0.370	1	n/a
sub-24429	Stop	0.750	0.000	0	0
sub-24429	Go	n/a	0.313	1	n/a
sub-24429	Go	n/a	0.673	1	n/a
sub-24429	Stop	0.800	0.000	0	1
sub-24429	Go	n/a	0.401	1	n/a
sub-24429	Go	n/a	0.795	1	n/a
sub-24429	Go	n/a	0.235	1	n/a
sub-24429	Go	n/a	0.443	1	n/a
sub-24429	Go	n/a	0.301	1	n/a
sub-24429	Go	n/a	0.514	1	n/a
sub-24429	Go	n/a	0.657	1	n/a
sub-24429	Go	n/a	0.446	1	n/a
sub-24429	Stop	0.750	0.000	0	1
sub-24429	Stop	0.700	0.284	1	0
sub-24429	Stop	0.750	0.000	0	1
sub-24429	Stop	0.700	0.000	0	0
sub-24429	Go	n/a	0.854	1	n/a
sub-24429	Go	n/a	0.416	1	n/a
sub-24429	Go	n/a	0.379	1	n/a
sub-24429	Go	n/a	0.583	1	n/a
sub-24429	Go	n/a	0.572	1	n/a
sub-24429	Go	n/a	0.357	1	n/a
sub-24429	Go	n/a	0.574	1	n/a
sub-24429	Go	n/a	0.554	1	n/a
sub-24429	Stop	0.750	0.000	0	1
sub-24429	Stop	0.700	0.000	0	0
sub-24429	Go	n/a	0.676	1	n/a
sub-24429	Stop	0.750	0.000	0	1
sub-24429	Go	n/a	0.636	1	n/a
sub-24429	Go	n/a	0.588	1	n/a
sub-24429	Go	n/a	0.838	1	n/a
sub-24429	Go	n/a	0.768	1	n/a
sub-24429	Go	n/a	0.531	1	n/a
sub-24429	Stop	0.700	0.000	0	1
sub-24429	Stop	0.650	0.000	0	0
sub-24429	Go	n/a	0.674	1	n/a
sub-24429	Go	n/a	0.956	1	n/a
sub-24429	Go	n/a	0.516	1	n/a
sub-24429	Go	n/a	0.494	1	n/a
sub-24429	Go	n/a	0.591	1	n/a
sub-24429	Stop	0.700	0.000	0	0
sub-24429	Go	n/a	0.812	1	n/a
sub-24429	Go	n/a	0.441	1	n/a
sub-24429	Go	n/a	0.619	1	n/a
sub-24429	Go	n/a	0.713	1	n/a
sub-24429	Go	n/a	0.501	1	n/a
sub-24429	Stop	0.750	0.000	0	0
sub-24429	Stop	0.800	0.000	0	1
sub-24429	Go	n/a	0.561	1	n/a
sub-24429	Go	n/a	0.390	1	n/a
sub-24429	Stop	0.750	0.000	0	1
sub-24429	Stop	0.700	0.000	0	1
sub-24429	Go	n/a	0.771	1	n/a
sub-24429	Go	n/a	0.538	1	n/a
sub-24429	Stop	0.650	0.000	0	0
sub-24429	Go	n/a	0.574	1	n/a
sub-24429	Go	n/a	0.407	1	n/a
sub-24429	Go	n/a	0.333	1	n/a
sub-24429	Stop	0.700	0.000	0	0
sub-24429	Go	n/a	0.581	1	n/a
sub-24429	Go	n/a	0.544	1	n/a
sub-24429	Go	n/a	0.412	1	n/a
sub-24429	Go	n/a	0.437	1	n/a
sub-24429	Go	n/a	0.711	1	n/a
sub-24429	Go	n/a	0.644	1	n/a
sub-24429	Stop	0.750	0.000	0	1
sub-24429	Go	n/a	0.391	1	n/a
sub-24429	Go	n/a	0.410	1	n/a
sub-24429	Go	n/a	0.539	1	n/a
sub-24429	Go	n/a	0.571	1	n/a
sub-24429	Go	n/a	0.447	1	n/a
