participant_id	trial_type	stop_signal_delay	go_reaction_time	correct_go	successful_stop
sub-24157	Stop	0.750	0.000	0	1
sub-24157	Stop	0.700	0.000	0	1
sub-24157	Go	n/a	0.542	1	n/a
sub-24157	Stop	0.650	0.000	0	0
sub-24157	Stop	0.700	0.000	0	1
sub-24157	Stop	0.650	0.000	0	1
sub-24157	Go	n/a	0.715	1	n/a
sub-24157	Go	n/a	0.773	1	n/a
sub-24157	Go	n/a	0.869	1	n/a
sub-24157	Go	n/a	0.441	1	n/a
sub-24157	Go	n/a	0.647	1	n/a
sub-24157	Go	n/a	0.551	1	n/a
sub-24157	Go	n/a	0.731	1	n/a
sub-24157	Go	n/a	0.565	1	n/a
sub-24157	Stop	0.600	0.000	0	0
sub-24157	Go	n/a	0.918	1	n/a
sub-24157	Go	n/a	0.648	1	n/a
sub-24157	Go	n/a	0.491	1	n/a
sub-24157	Stop	0.750	0.000	0	1
sub-24157	Go	n/a	0.841	1	n/a
sub-24157	Go	n/a	0.631	1	n/a
sub-24157	Go	n/a	0.493	1	n/a
sub-24157	Go	n/a	0.565	1	n/a
sub-24157	Go	n/a	0.504	1	n/a
sub-24157	Go	n/a	0.679	1	n/a
sub-24157	Go	n/a	0.628	1	n/a
sub-24157	Go	n/a	0.687	1	n/a
sub-24157	Go	n/a	0.781	1	n/a
sub-24157	Go	n/a	0.000	0	n/a
sub-24157	Go	n/a	0.744	1	n/a
sub-24157	Go	n/a	0.561	1	n/a
sub-24157	Go	n/a	0.614	1	n/a
sub-24157	Go	n/a	0.721	1	n/a
sub-24157	Go	n/a	0.586	1	n/a
sub-24157	Stop	0.700	0.000	0	1
sub-24157	Go	n/a	0.597	1	n/a
sub-24157	Go	n/a	0.625	1	n/a
sub-24157	Go	n/a	0.729	1	n/a
sub-24157	Stop	0.650	0.000	0	1
sub-24157	Stop	0.600	0.000	0	1
sub-24157	Go	n/a	0.801	1	n/a
sub-24157	Go	n/a	0.751	1	n/a
sub-24157	Go	n/a	0.732	1	n/a
sub-24157	Go	n/a	0.734	1	n/a
sub-24157	Go	n/a	0.608	1	n/a
sub-24157	Go	n/a	0.657	1	n/a
sub-24157	Go	n/a	0.436	1	n/a
sub-24157	Stop	0.550	0.000	0	1
sub-24157	Go	n/a	0.757	1	n/a
sub-24157	Go	n/a	0.789	1	n/a
sub-24157	Stop	0.500	0.000	0	0
sub-24157	Go	n/a	0.929	1	n/a
sub-24157	Go	n/a	0.495	1	n/a
sub-24157	Go	n/a	0.598	1	n/a
sub-24157	Go	n/a	0.729	1	n/a
sub-24157	Go	n/a	0.718	1	n/a
sub-24157	Stop	0.550	0.000	0	1
sub-24157	Go	n/a	0.664	1	n/a
sub-24157	Go	n/a	0.790	1	n/a
sub-24157	Go	n/a	0.624	1	n/a
sub-24157	Go	n/a	0.688	1	n/a
sub-24157	Stop	0.500	0.000	0	0
sub-24157	Go	n/a	0.920	1	n/a
sub-24157	Go	n/a	0.706	1	n/a
sub-24157	Go	n/a	0.639	1	n/a
sub-24157	Go	n/a	0.819	1	n/a
sub-24157	Stop	0.550	0.000	0	1
sub-24157	Go	n/a	0.718	1	n/a
sub-24157	Stop	0.500	0.000	0	1
sub-24157	Go	n/a	0.971	1	n/a
sub-24157	Go	n/a	0.516	1	n/a
sub-24157	Stop	0.450	0.426	1	0
sub-24157	Go	n/a	0.750	1	n/a
sub-24157	Go	n/a	0.711	1	n/a
sub-24157	Stop	0.500	0.000	0	1
sub-24157	Go	n/a	0.799	1	n/a
sub-24157	Stop	0.450	0.000	0	1
sub-24157	Go	n/a	0.786	1	n/a
sub-24157	Go	n/a	0.824	1	n/a
sub-24157	Stop	0.400	0.000	0	1
sub-24157	Go	n/a	0.000	0	n/a
sub-24157	Stop	0.350	0.610	1	0
sub-24157	Go	n/a	0.695	1	n/a
sub-24157	Go	n/a	0.924	1	n/a
sub-24157	Go	n/a	0.663	1	n/a
sub-24157	Go	n/a	0.874	1	n/a
sub-24157	Go	n/a	0.649	1	n/a
sub-24157	Stop	0.400	0.596	1	0
sub-24157	Stop	0.450	0.000	0	1
sub-24157	Go	n/a	0.839	1	n/a
sub-24157	Stop	0.400	0.583	1	0
sub-24157	Go	n/a	0.863	1	n/a
sub-24157	Go	n/a	0.772	1	n/a
sub-24157	Go	n/a	0.775	1	n/a
sub-24157	Go	n/a	0.000	0	n/a
sub-24157	Stop	0.450	0.000	0	1
sub-24157	Go	n/a	0.760	1	n/a
sub-24157	Go	n/a	0.709	1	n/a
sub-24157	Go	n/a	0.949	1	n/a
sub-24157	Stop	0.400	0.000	0	0
sub-24157	Stop	0.450	0.000	0	1
sub-24157	Go	n/a	0.805	1	n/a
sub-24157	Go	n/a	0.999	1	n/a
sub-24157	Stop	0.400	0.000	0	1
sub-24157	Go	n/a	0.837	1	n/a
sub-24157	Go	n/a	0.730	1	n/a
sub-24157	Go	n/a	0.721	1	n/a
sub-24157	Go	n/a	0.614	1	n/a
